2021-09-14 19:31:18,495 INFO    MainThread:14604 [wandb_setup.py:_flush():69] setting env: {}
2021-09-14 19:31:18,496 INFO    MainThread:14604 [wandb_setup.py:_flush():69] setting login settings: {}
2021-09-14 19:31:18,496 INFO    MainThread:14604 [wandb_setup.py:_flush():69] setting login settings: {}
2021-09-14 19:31:18,496 INFO    MainThread:14604 [wandb_init.py:_log_setup():342] Logging user logs to F:\5th sem project\wandb\run-20210914_193118-1nawccci\logs\debug.log
2021-09-14 19:31:18,496 INFO    MainThread:14604 [wandb_init.py:_log_setup():343] Logging internal logs to F:\5th sem project\wandb\run-20210914_193118-1nawccci\logs\debug-internal.log
2021-09-14 19:31:18,497 INFO    MainThread:14604 [wandb_init.py:_jupyter_setup():294] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002052F10F670>
2021-09-14 19:31:18,498 INFO    MainThread:14604 [wandb_init.py:init():375] calling init triggers
2021-09-14 19:31:18,498 INFO    MainThread:14604 [wandb_init.py:init():380] wandb.init called with sweep_config: {}
config: {}
2021-09-14 19:31:18,498 INFO    MainThread:14604 [wandb_init.py:init():424] starting backend
2021-09-14 19:31:18,498 INFO    MainThread:14604 [backend.py:_multiprocessing_setup():70] multiprocessing start_methods=spawn, using: spawn
2021-09-14 19:31:18,504 INFO    MainThread:14604 [backend.py:ensure_launched():135] starting backend process...
2021-09-14 19:31:18,617 INFO    MainThread:14604 [backend.py:ensure_launched():139] started backend process with pid: 13804
2021-09-14 19:31:18,618 INFO    MainThread:14604 [wandb_init.py:init():429] backend started and connected
2021-09-14 19:31:18,619 INFO    MainThread:14604 [wandb_run.py:_label_probe_notebook():815] probe notebook
2021-09-14 19:31:18,620 INFO    MainThread:14604 [wandb_run.py:_label_probe_notebook():822] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2021-09-14 19:31:18,621 INFO    MainThread:14604 [wandb_init.py:init():477] updated telemetry
2021-09-14 19:31:18,621 INFO    MainThread:14604 [wandb_init.py:init():500] communicating current version
2021-09-14 19:31:21,470 INFO    MainThread:14604 [wandb_init.py:init():505] got version response 
2021-09-14 19:31:21,471 INFO    MainThread:14604 [wandb_init.py:init():513] communicating run to backend with 30 second timeout
2021-09-14 19:31:22,025 INFO    MainThread:14604 [wandb_init.py:init():540] starting run threads in backend
2021-09-14 19:31:27,037 INFO    MainThread:14604 [wandb_run.py:_console_start():1601] atexit reg
2021-09-14 19:31:27,038 INFO    MainThread:14604 [wandb_run.py:_redirect():1475] redirect: SettingsConsole.WRAP
2021-09-14 19:31:27,038 INFO    MainThread:14604 [wandb_run.py:_redirect():1512] Wrapping output streams.
2021-09-14 19:31:27,040 INFO    MainThread:14604 [wandb_run.py:_redirect():1536] Redirects installed.
2021-09-14 19:31:27,040 INFO    MainThread:14604 [wandb_init.py:init():565] run started, returning control to user process
2021-09-14 19:31:27,040 INFO    MainThread:14604 [wandb_config.py:__setitem__():141] config set epochs = 60 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000205385468B0>>
2021-09-14 19:31:27,040 INFO    MainThread:14604 [wandb_run.py:_config_callback():843] config_cb epochs 60 None
2021-09-14 19:31:27,040 INFO    MainThread:14604 [wandb_config.py:__setitem__():141] config set size = 128 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000205385468B0>>
2021-09-14 19:31:27,041 INFO    MainThread:14604 [wandb_run.py:_config_callback():843] config_cb size 128 None
2021-09-14 19:31:27,041 INFO    MainThread:14604 [wandb_config.py:__setitem__():141] config set dropout = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000205385468B0>>
2021-09-14 19:31:27,041 INFO    MainThread:14604 [wandb_run.py:_config_callback():843] config_cb dropout 0.1 None
2021-09-14 19:31:27,041 INFO    MainThread:14604 [wandb_config.py:__setitem__():141] config set batch_size = 14 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000205385468B0>>
2021-09-14 19:31:27,042 INFO    MainThread:14604 [wandb_run.py:_config_callback():843] config_cb batch_size 14 None
2021-09-14 19:31:27,042 INFO    MainThread:14604 [wandb_config.py:__setitem__():141] config set pool_size = [5, 5] - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000205385468B0>>
2021-09-14 19:31:27,042 INFO    MainThread:14604 [wandb_run.py:_config_callback():843] config_cb pool_size [5, 5] None
2021-09-14 19:31:27,042 INFO    MainThread:14604 [wandb_config.py:__setitem__():141] config set shear_range = 0.5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000205385468B0>>
2021-09-14 19:31:27,043 INFO    MainThread:14604 [wandb_run.py:_config_callback():843] config_cb shear_range 0.5 None
2021-09-14 19:31:27,043 INFO    MainThread:14604 [wandb_config.py:__setitem__():141] config set zoom_range = 0.5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000205385468B0>>
2021-09-14 19:31:27,043 INFO    MainThread:14604 [wandb_run.py:_config_callback():843] config_cb zoom_range 0.5 None
2021-09-14 19:45:39,482 INFO    MainThread:14604 [wandb_run.py:finish():1271] finishing run khushal/last-weather-recognization/1nawccci
