2021-11-08 14:15:59,400 INFO    MainThread:7896 [wandb_setup.py:_flush():71] setting env: {}
2021-11-08 14:15:59,416 INFO    MainThread:7896 [wandb_setup.py:_flush():71] setting login settings: {}
2021-11-08 14:15:59,416 INFO    MainThread:7896 [wandb_init.py:_log_setup():357] Logging user logs to D:\5th sem project\wandb\run-20211108_141559-1a7y6bxm\logs\debug.log
2021-11-08 14:15:59,416 INFO    MainThread:7896 [wandb_init.py:_log_setup():358] Logging internal logs to D:\5th sem project\wandb\run-20211108_141559-1a7y6bxm\logs\debug-internal.log
2021-11-08 14:15:59,416 INFO    MainThread:7896 [wandb_init.py:_jupyter_setup():307] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002504909D6D0>
2021-11-08 14:15:59,447 INFO    MainThread:7896 [wandb_init.py:init():390] calling init triggers
2021-11-08 14:15:59,447 INFO    MainThread:7896 [wandb_init.py:init():395] wandb.init called with sweep_config: {}
config: {}
2021-11-08 14:15:59,447 INFO    MainThread:7896 [wandb_init.py:init():435] starting backend
2021-11-08 14:15:59,447 INFO    MainThread:7896 [backend.py:_multiprocessing_setup():95] multiprocessing start_methods=spawn, using: spawn
2021-11-08 14:15:59,447 INFO    MainThread:7896 [backend.py:ensure_launched():199] starting backend process...
2021-11-08 14:15:59,556 INFO    MainThread:7896 [backend.py:ensure_launched():204] started backend process with pid: 3524
2021-11-08 14:15:59,556 INFO    MainThread:7896 [wandb_init.py:init():444] backend started and connected
2021-11-08 14:15:59,556 INFO    MainThread:7896 [wandb_run.py:_label_probe_notebook():866] probe notebook
2021-11-08 14:15:59,556 INFO    MainThread:7896 [wandb_run.py:_label_probe_notebook():876] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2021-11-08 14:15:59,556 INFO    MainThread:7896 [wandb_init.py:init():503] updated telemetry
2021-11-08 14:15:59,556 INFO    MainThread:7896 [wandb_init.py:init():533] communicating current version
2021-11-08 14:16:04,559 INFO    MainThread:7896 [wandb_init.py:init():548] communicating run to backend with 30 second timeout
